codigo,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25
101101,18052.46,40869.87,148747.18,103871.41,196732.44,303291.48,352156.58,341920.73,225763.92,295939.17,435299.38,413683.57,308412.27,456258.57,360008.12,399090.27,397087.52,366853.15,395320.58,432312.89,643794.15,481591.74,841779.68,566484.35,713984.01,533175.6,619821.61,537100.47,513399.4,783559.33,964847.09,870621.56,902455.6,838344.25,948797.02,819915.34,1114142.5,1056540.6,950343.48,791953.01,992119.44,1077971.81,857644.05,815500.74,1115446.31,965895.47,1524367.66,1258134.19,987562.46,1098435.21,1001540.9,1127135.19,1473485.21,1158653.49,1444073.79,1176241.16,2034482.48,1462559.01,1234257.2,1063099.55,1484939.85,1335181.97,1628488.72,1945487.95,1967606.7,2010341.63,2190152.97,2199216,2039957.84,1965460.36,1941336.18,2693361.79,2436245.17,2394907.25,2946636.9,2567455.33,2937005.79,2227584.54,2412167.63,1777603.66,2808258.41,3336933.52,3171743.5,2986208.46,3411359.52,3105882.38,3627730.78,3783344.25,3803356.47,3707816.11,3717737.39,3322748.07,4222696.74,4591631.33,3476991.08,4044030.77,3055756.52,4600039.55,5009220.35,3608928.36,4237595.54,4571253.37,3280790.88,3823636.2,4108757.77,3545006.14,4188319.53,4288521.93,2766489.28,4084891.84,4041085.4,3509836.89,3915433.48,3233842.08,3410236.74,3615742.99,3573974.7,4112737.45,4818690.21,4374845.73,3842411.08,4304335.26,4236301.49,4376704.26,4075030.17,4055995.43,4919996.71,4229010.34,3921940.12
101103,1529962.12,274194.44,401556.59,84078.32,238962.71,473206.26,63255.11,528083.43,1028993.82,656215.97,361860.68,448789.39,2933926.32,1794810.95,2717494.27,6961082.83,2685210.75,1104308.28,1350282.7,2270030.81,1327505.8,1900874.75,10150683.54,7666041.32,4318676.29,6475099.64,7639439.62,7442756.24,6357679.88,1778044.22,6820337.69,1753957.7,878616.26,2636530.51,4778808.31,7146679.78,3423242.66,3807431.72,3916667.06,8527142.27,10143480.01,9113103.46,15533730.65,19329208.28,17248538.76,13344935.02,13812942.24,11190750.66,9251209.31,10364749.78,9387903.55,6804902.45,6498199.66,9676824.66,8199727.61,12654614.49,12771924.77,12338324.95,9753522.77,9093261.11,9627427.83,10748229.91,12640921.8,16140004.15,19213406.64,13688275.66,15948705.82,10270499.17,13079147.81,15704237.65,15921020.9,11907272.64,18591516.11,9054328.6,14782765.12,19270076.73,16079322.91,13237707.35,21857890.48,21686486.21,11351506.36,11656026.29,7393257.47,9098573.8,9262734.15,9778413.46,9474876.67,12570454.21,9372628.49,14809211.88,14954148.52,12377561.99,11917029.18,12217644.11,10561494.03,11212716.47,10339345.03,15851890.73,15378738.47,11119306.74,10622220.33,10643786.27,14862766.29,13432740.48,17966894.2,14329768.1,14572376.04,15302540.18,12695047.54,17038849.34,17603702.17,15900816.96,17786488.58,20013452.78,17839994.78,19030784.7,17300478.07,19972180.56,21691228.37,17964895.69,16400240.3,19441143.48,21355603.27,28387896.89,31022753.02,31646938.47,28392383.06,32624857.42,34786375.84
101108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,100,100,100,100,100,2000100,2017460.15,2029295.76,2045256.85,2057092.46,2072829.48,5590732.35,5796188.11,5664367.54
101602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41419.13,41419.13,41383.78,7047.12,12945.5,7082.04,7084.38,7072.5,7049.27,7045.52,7044.32,7825.15,14071.82,10129.15,6217.46,2330.27,776.87,774.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101603,0,0,0,0,2274872.2,4461.39,4461.39,4461.39,4461.39,3.82,3.82,3.82,126016.75,37766.14,51541.09,945077.84,350713.57,1612742.81,236452.53,236767.56,174144.01,7610992.65,75800.57,90026.79,93000.1,53368.23,233539.78,207300.12,640388.66,246402.7,424221.83,364352.8,223277.65,148457.94,1022420.57,541222.61,533568.24,494869,1267829.42,701814.52,1743701.5,1745255.9,1325943.08,1273808.22,1118011.92,606677.42,219715.89,1049056.84,61374.81,26823.19,6661719.05,7404583.78,1043668.86,877176.09,191196.01,1437776.01,6274083.54,5696930.11,148918.16,2354684.7,59475.37,27964.88,33282.97,20508.19,16384.71,11517.3,3851883.9,3845941.78,6381.97,2455.91,2554.22,2805519.47,2793921.06,761056.54,514192.5,1062610.53,1445201.69,118241.56,48418.91,641393.86,5659600.78,978242,593071.67,781573.33,1396993.63,990798.05,2316766.88,551172.95,1996192.65,625266.8,361598.82,1121957.85,3003359.15,2391685.32,1442887.48,974360.4,1356627.78,1024548.26,100399.23,3744704.12,3120442.92,2663020.3,4062740.42,3692219.38,241050.23,864041.64,47950.43,42838.31,3856576.98,3514553.3,1705729.22,1297585.62,770362.05,613273.25,249695.63,49885.51,3827.75,121445.11,68085.65,24164.06,3825635.59,3811230.98,3803035.8,5713830.07,6058110.51,5907953.11,10355548.75,10974846.81,10126690.16
102103,5100,5100,100,100,100,100,100,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,21025,21025,21025,21025,21075,36075,36075,36075,45575,45575,45575,45575,45575,45575,45575,45575,45575,45575,36075,36075,36075,36075,36075,1075,1075,1601075,3601075,3601075,3601075,3646869.58,4156869.58,4156869.58,4156869.58,4156869.58,4726869.58,4726869.58,4726869.58,4933869.58,4933869.58,4933869.58,4933869.58,4933869.58,6933869.58,6933869.58,6122266.78,6922266.78,6412266.78,6412266.78,6412266.78,6412266.78,6411191.78,6411191.78,6411191.78,8661191.78,8661191.78,8661191.78,10161191.78,10396720.01,10396720.01,11396720.01,11396720.01,11396720.01,11421720.01,11421720.01,11421720.01,13101350.15,11101350.15,13101350.15,14101350.15,14555395.95,14555395.95,14555395.95,14555395.95,14555395.95,14555395.95,14555395.95,14555395.95,15225470.05,15225470.05,16225470.05,16225470.05,16478710.69,16478710.69,16478710.69,16478710.69,16453710.69,16453710.69,16842692.91,16953610.69,16953610.69,17353906.65,17353906.65,19353906.65,19000000,19000000,19000000,19000000,19000000,19000000,19000000,19000000,19000000,20500000,20500000,19500000,19500000,18000000
102199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102603,0,0,0,0,0,2270464.02,2270464.02,2270464.02,13050464.02,16853884.02,16853884.02,16853884.02,19151068.02,19151068.02,23734924.02,28327648.02,28327648.02,28327648.02,30079207,29728419.09,29728419.09,29728419.09,29728419.09,29728419.09,29160132.67,29160132.67,26893671.24,26869815.24,26869815.24,26869815.24,26835387.24,26835387.24,26835387.24,26835387.24,26802459.24,26802459.24,26802459.24,26790531.24,22317718.29,22317718.29,18337471.99,18491807.99,18491807.99,18491807.99,18491807.99,14821927.99,12619999.99,12619999.99,12619999.99,12619999.99,10429999.99,10429999.99,10591752,10591752,10591752,10591752,5295876,5397007,5397007,5397007,7700659,7700659,7700659,7700659,7700659,7700659,3857006,3857006,3857006,3857006,3857006,3857006,3857006,5400386,3085013,10067252,10067252,10067252,10067252,10067252,10067252,20102264,19993506,16969084,17063556.25,17030003.25,17072656.5,17232278,17188801.5,17192472.75,17516188,17393568.25,17421981.5,17446189.5,17438023.75,17363219.25,17337453.75,17348378.5,17397061.5,22139272,22204727.25,22212100.5,22174683.25,22101869,22090117,20520927.5,20488167.5,20521410,20453081.25,20401027.5,20389845,16514077.5,16459782.5,16424337.5,22205005,22209518.75,22187525,22155468.75,22232346.25,22170418.75,22170993.75,22119128.75,22069765,14408400,14379131.25,14363868.75,8614226.25,8613798.75,8615857.5
102699,0,0,0,0,0,6124.02,12678.5,19422.35,26122.35,67044.62,109322.72,151308.38,75638.28,68003.43,47619.47,87368.85,97166.67,78154.47,47964.79,73242.47,123096.73,188736.27,223614.17,258753.79,295641.71,354537.08,362449.39,313293.9,380714.96,328211.48,80885.17,101456.11,101456.11,55215.77,102212.35,142556.61,193825.64,216177.47,189744.43,242361.52,224493.29,15202.08,31799.16,48284.41,64898.45,45727.15,-14780.62,5180.8,21828.8,38750.09,7703.57,4273.89,21712.75,39005.12,56182.66,73171.84,92912.93,111915.38,132431.39,99716.07,121070.57,142473.7,163909.92,185330.06,215100.28,236526.64,198505.23,53507.83,58305.09,95922.9,83540.71,121158.52,158776.33,181169.14,212368.12,253741.74,261171.6,320313.97,402101.14,192932.76,218149.04,269681.99,282510.78,339456.23,408968.35,478480.47,547992.59,337720.27,374705.54,431065.81,452241.93,263259.29,324230.38,147764.99,234501.69,325038.39,412000,499000,586000,429000,529888.73,660000,732000,574333.81,677500,400000,499410.01,598820.01,698230,797270.29,795568.47,578388,500407.64,609549.99,718692.34,547979.61,652179.92,357715.24,461915.55,566115.86,670316.17,795678.45,899878.76,797829.07,531841.88,621854.69,500172.7,434842.87,532478.29
103101,4020151.5,8329282.57,14011249.09,19252165.26,25511013.14,30669415.62,34570904.72,38847269.59,43379312.76,44705876.61,46212805.57,48012105.11,48909158.69,49279294.83,50707837.94,51429992.54,52171774.16,55590532.25,57444768.15,60435944.39,62519080.3,62798051.44,64537841.66,65956379.87,66918469.71,66686759.77,67463403.74,69579962.84,70970722.28,73774265.14,72417754.21,75520134.91,79053147.13,78448412.48,78663665.59,78907444.26,78541835.88,76901973.17,74724054.19,74708648.22,73244621.45,74022577.93,74465520.03,76324834.59,78793860.02,82068517.48,82348335.91,85780354.49,86919387.95,88623209.14,93141963.13,94388145.32,95502970.5,99055927.64,100848106.87,102467699.79,103715510.01,103813072.82,105343265.01,107374048.62,105950616.97,103300155.25,101552315.23,98674740.3,101531624,105859606.46,112813253.41,120002244.99,123113985.28,122210667.23,122177893.23,124732519.27,127910159.08,131933819.06,131015928.98,131764635.33,133349725.8,139273646.18,140382615.29,144362555.35,148697034.86,149119571.48,149813855.3,153820997.69,154708785.94,156748338.5,161073919.77,163459319.87,165840703.62,167485547.81,168919063.82,175387751.06,177447335.77,177061768.26,177692148.87,179258306.46,184231288.77,186421978.36,185388312.56,187900283.98,187812522.93,189547280.84,188845540.71,189331880.62,194379164.38,199546239.27,204326234.12,200669080.01,206249343.45,207689194.78,211797100.75,214149790.02,215720160.61,218511153.89,218808691.35,226450836.24,232837275.19,241321159.02,244116524.86,244899959.91,245339844.36,244301668.73,244953823.66,244546114.2,249932915.36,251250110.23,246707257.58,249331614.07,246385928.95
103102,0,0,0,0,0,0,0,0,0,55188,54956.61,120307.24,196193.4,307376.96,450568.05,556667.66,776833.83,1147235.95,1197227.07,1312248.48,1430460.13,1437301.96,1580225.68,1761022.38,1859237.86,2191736.38,2192037.58,2333459.56,2390776.36,2400354.3,2417677.53,2387654.58,2576595.81,2237607.66,2329662.11,2672758.69,3452261.7,4337048.43,4348307.58,3612111.49,3861636.95,4067973.39,4254717.9,4397212.65,4349156.36,3664410.38,3705029.4,3446209.72,3360311.88,3794605.84,3633992.72,3348916.68,3270969.59,2867369.2,2874626.02,2953155.45,3008978.81,2238546.81,2633489.19,2745884.22,2718129.2,3074122.19,3239165.11,3773495.41,3863383.41,4029403.83,3879630.02,3359515.58,3313848.34,3259235.88,3329722.66,3242678.8,3290824.54,3396483.89,4138888.51,4407228.53,4529526.29,4656503.32,3897496.85,4020707.48,3789074.91,3253105.06,3565597.37,3670512.83,3261153.04,3639645.37,3318763.13,2319425.07,2221301.93,2286248.88,2664266.5,2756205.27,2157912.9,1468988.76,2896127.07,3148713.85,2858186.74,3547341.13,3689263.8,4375732.26,4659745.64,4544834.04,6813595.45,8116779.03,9135520.1,9655562.84,9798048.13,10094842.02,11506578.28,11094208.51,11451712.46,11419288.01,10823630.05,11711066.25,12307358.16,12254006.18,12273912.3,10116142.16,9939615.12,10209682.1,10482852.32,10734813.82,11386758.98,11837931.59,12295893.7,13158948.29,13964302.3,14130699.24,16175279.6
103103,0,0,0,0,0,0,0,0,65137.86,0,141670.23,83562.01,212207.14,181512.55,189408,297008.14,548218.22,136714.44,382682.64,291568.84,336844.15,421292.98,284549.35,264384.04,453891.59,319138.14,222526.38,155437.19,330557.64,186763.28,285895.47,404825.02,239647.54,134536.75,481244.02,978490.39,1249263.99,332250.15,286104.37,319407.13,560666.89,341924.82,297920.27,75609.75,602471.37,6046.76,294238.89,206409.11,303005.51,-5596.78,91797.81,64928.98,21506.56,40065.02,59631.36,127997.3,-87932.52,50602.02,84547.45,29692.88,368216.87,534415.3,795452.4,320090.56,300078.58,232327.79,201970.89,215487.1,263628.06,162926.35,285701.6,302577.19,189124.98,1048194.65,1253981.5,363624.3,322435.5,453817.97,232735.62,455112.74,205814.89,391115.33,1261858.5,1891426.86,2155711.07,1408800.95,702676.3,1131275.28,1532361.75,1376566.03,1413698.93,865534.23,2475546.99,2528733.58,2786731.38,2914623.69,2350645.06,2237775.08,2895819.57,3572679.58,4459447.15,6118085.91,6289708.6,9176109.55,6101751.17,3597342.94,4776587.08,7366902.58,5472859,6775934.07,5391026.08,5579210.99,6102564.45,4657035.83,4277007.83,5677955.87,4867072.42,3613430.86,5027187.21,6524043.78,7058685.21,7452912.82,7335582.91,6205846.46,6045643.47,6522524.01,11590235.29,8801321.23,7811764.13
103199,44860.59,120882.41,212034.98,308066.89,398788.78,497348.05,562843.48,673785.05,772746.16,806653.45,858059.88,903932.2,930044.19,942422.32,989539.5,970789.71,1068651.43,1142493.08,1173572.58,1259861.4,1284250.93,1333749.56,1393064.63,1410744.09,1482681.46,1577150.76,1629082.02,1631028.43,1665481.06,1690119.18,1741149.66,1760434.44,1877719.64,1911584.53,1911584.53,1911584.53,1911584.53,1911584.53,1911584.53,1911584.53,1911584.53,1911584.53,1911584.53,1911584.53,1911584.53,1911584.53,2002513.82,1911584.53,1911584.53,1911584.53,1911584.53,1911584.53,1911584.53,1911584.53,1911584.53,1911584.53,1911584.53,1911584.53,1871759.85,1831935.16,1831935.16,1831935.16,1831935.16,1831935.16,1831935.16,1831935.16,1831935.16,1831935.16,1831935.16,1831935.16,1831935.16,1806935.16,1706935.15,1606935.16,1506935.17,1406935.17,1306935.17,1206935.17,1106935.17,1006935.17,906935.17,806935.17,700000,600000,500000,400000,300000,200000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57573.67,1126.75,1125.09,5092.54,7350.3,2399.94,1134.54,1193.87,3025.3,1508,6085.61,7945.68,14383.81,4316.61,13512.51,13466.08,12778.43,15462.67,29669.72,31340.5,43014.53,45336.54,61516.63,71387.39,70496.41,65662.3,66396.92,71851.09,61311.73,70527.16,59332.05,80580,50860.61,99200.56,87441.38
104101,199463.91,262207.54,127479.98,374400.21,442536.22,444227.71,489573.29,305916.2,322001.56,8301739.73,8275542.87,9014512.64,8265972.36,5077032.56,9930480.67,9401314.02,9097853.32,9948153.06,9015787.27,10070505.16,9442296.07,1693527.34,571258.36,1703219.07,1723200.58,989413.4,745386,3573569.07,4579183.68,5318308.11,8465234.82,10451812.07,9547458.45,32460115.17,28740662.66,29243457.16,30058006.41,30197825.59,30549537.93,7557220.52,6807726.61,4069896.26,4013587.61,4090971.36,109841.4,25377817.9,28379138.8,25324380.12,25302291.59,59594.34,107286.26,53414.83,47980.83,90519.83,47908.24,232008.77,62281.24,26920505.72,26913300.85,26947383.09,26990854.81,471140.31,888198.67,1107704.36,977695.26,980971.43,911999.83,788367.33,725960.03,44906.33,44672.68,39556.64,38407.91,45873.05,41757.25,43257.89,40326.82,56343.46,56761.48,43989.95,43397.35,76404.08,0,0,0,0,0,0,0,0,0,0,0,118115.43,87107.06,94959.88,52847.07,44362.55,52647.22,57008.32,40284.71,39925.7,136629.41,141249.89,174136.14,205049.1,934584.39,874698.62,814401.78,817285.51,875834.78,879519.83,414864.41,417298.64,428934.3,472103.86,486899.45,423023.82,433380.65,419763.28,448306.28,424221.06,432528.01,441502.6,453153.72,433010.71,436000.88,722876.55,611760.13
104102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66512.67,83065.44,86987.39,82456.45,68772.66,57549.03,54462.04,56006.73,62573.31,54350.47,125919.82,164717.17,84410.94,85423.27,127358.75,153969.25,122928.11,92948.46,170944.8,159521.7,371686.8,163627.19,167262.68,315239.11,327220.92,319755.48,156326.63,299865.2,190369.05,246353.08,236995.05,191709.95,149234.15,312072.82,267896.93,673154.93,667954.52,486176.02,511028.99,515519.69,213752.78,366913.95,243448.94,206390.96,210742.86,513272.76,266437.25
104601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78485.5,78485.5,78485.5,78082.6,78301.4,78457.6,78689.3,78715.4,78622.32,78325.2,78283.6,78270.2,78145.4,78176.8,77916.5,77718.2,77675.6,77687.4,77457.8,77291,77234.8,77250.5,77174,77062.5,77329.9,77114.5,92527.79,76936.1,76764.4,76844.8,76688.7,76607.3,76570.9,76567.1,842439.4
104602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68003.14,63662.81,63767.1,59840.47,57764.67,56611.15,56754.82,56628.17,54578.34,51901.49,45220.05,42258.79,55827.23,53128.89,42589.63,40028.53,36569.59,26682.76,42491.88,25043.44,30391.97,33917.68,28480.83,155066.55,121902.31,75499.18,31888.06,21541.95,14048.65,26174.11,19925.72,27592.65,30960.37,40629.57,26408.1
109101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64459.9,428877.48,518869.98,774107.93,889062.88,1027026.08,1191472.38,1405067.93,1724046.86,2101410.58,2214740.91,2570291.73,3034948.58,3182107.08,3427648.91,4337559.71,4586990.21,4791612.88,4899339.58,5113523.91,5248409.41,5367669.78,0,0,0,0,0,0,0,0,0,0,0,8995947.18,8995947.18,8995947.18,8995947.18,8995947.18,9116956.78,9116956.78,9116956.78,9116956.78,9116956.78,9116956.78,9116956.78,9116956.78,9116956.78,9116956.78,9116956.78,9116956.78,9116956.78,9116956.78,9116956.78,9116956.78,9116956.78,9116956.78,9116956.78,9116956.78,9116956.78,9116956.78,9116956.78,9116956.78,9116956.78,9116956.78,9116956.78,9116956.78,9116956.78,9116956.78,9116956.78
